agency_cd,site_no,date,daily_mean_cfs
USGS,9380000,1930-01-01,4700
USGS,9380000,1930-01-02,4600
USGS,9380000,1930-01-03,4500
USGS,9380000,1930-01-04,4600
USGS,9380000,1930-01-05,5000
USGS,9380000,1930-01-06,5600
USGS,9380000,1930-01-07,5900
USGS,9380000,1930-01-08,6000
USGS,9380000,1930-01-09,6100
USGS,9380000,1930-01-10,6400
USGS,9380000,1930-01-11,6130
USGS,9380000,1930-01-12,5700
USGS,9380000,1930-01-13,5400
USGS,9380000,1930-01-14,5200
USGS,9380000,1930-01-15,5100
USGS,9380000,1930-01-16,5220
USGS,9380000,1930-01-17,5420
USGS,9380000,1930-01-18,5540
USGS,9380000,1930-01-19,5330
USGS,9380000,1930-01-20,5000
USGS,9380000,1930-01-21,4400
USGS,9380000,1930-01-22,3800
USGS,9380000,1930-01-23,3500
USGS,9380000,1930-01-24,2900
USGS,9380000,1930-01-25,2900
USGS,9380000,1930-01-26,2900
USGS,9380000,1930-01-27,4100
USGS,9380000,1930-01-28,4220
USGS,9380000,1930-01-29,4050
USGS,9380000,1930-01-30,4020
USGS,9380000,1930-01-31,4390
USGS,9380000,1930-02-01,5150
USGS,9380000,1930-02-02,6160
USGS,9380000,1930-02-03,6960
USGS,9380000,1930-02-04,7230
USGS,9380000,1930-02-05,6520
USGS,9380000,1930-02-06,6190
USGS,9380000,1930-02-07,6030
USGS,9380000,1930-02-08,6160
USGS,9380000,1930-02-09,6450
USGS,9380000,1930-02-10,6720
USGS,9380000,1930-02-11,6790
USGS,9380000,1930-02-12,6920
USGS,9380000,1930-02-13,7190
USGS,9380000,1930-02-14,7610
USGS,9380000,1930-02-15,8080
USGS,9380000,1930-02-16,8810
USGS,9380000,1930-02-17,9150
USGS,9380000,1930-02-18,8960
USGS,9380000,1930-02-19,8810
USGS,9380000,1930-02-20,8700
USGS,9380000,1930-02-21,8920
USGS,9380000,1930-02-22,9660
USGS,9380000,1930-02-23,10100
USGS,9380000,1930-02-24,11100
USGS,9380000,1930-02-25,14700
USGS,9380000,1930-02-26,16200
USGS,9380000,1930-02-27,13700
USGS,9380000,1930-02-28,13700
USGS,9380000,1930-03-01,12600
USGS,9380000,1930-03-02,11300
USGS,9380000,1930-03-03,10300
USGS,9380000,1930-03-04,9540
USGS,9380000,1930-03-05,9150
USGS,9380000,1930-03-06,9000
USGS,9380000,1930-03-07,8920
USGS,9380000,1930-03-08,8580
USGS,9380000,1930-03-09,8360
USGS,9380000,1930-03-10,8330
USGS,9380000,1930-03-11,8470
USGS,9380000,1930-03-12,8290
USGS,9380000,1930-03-13,7970
USGS,9380000,1930-03-14,7900
USGS,9380000,1930-03-15,7790
USGS,9380000,1930-03-16,7930
USGS,9380000,1930-03-17,7930
USGS,9380000,1930-03-18,8110
USGS,9380000,1930-03-19,8400
USGS,9380000,1930-03-20,9110
USGS,9380000,1930-03-21,9500
USGS,9380000,1930-03-22,9310
USGS,9380000,1930-03-23,9230
USGS,9380000,1930-03-24,9740
USGS,9380000,1930-03-25,9980
USGS,9380000,1930-03-26,10100
USGS,9380000,1930-03-27,10100
USGS,9380000,1930-03-28,10300
USGS,9380000,1930-03-29,10200
USGS,9380000,1930-03-30,10300
USGS,9380000,1930-03-31,10100
USGS,9380000,1930-04-01,9820
USGS,9380000,1930-04-02,9150
USGS,9380000,1930-04-03,8810
USGS,9380000,1930-04-04,8810
USGS,9380000,1930-04-05,8960
USGS,9380000,1930-04-06,8960
USGS,9380000,1930-04-07,9150
USGS,9380000,1930-04-08,10100
USGS,9380000,1930-04-09,11500
USGS,9380000,1930-04-10,16400
USGS,9380000,1930-04-11,26200
USGS,9380000,1930-04-12,34600
USGS,9380000,1930-04-13,40000
USGS,9380000,1930-04-14,39600
USGS,9380000,1930-04-15,38500
USGS,9380000,1930-04-16,40300
USGS,9380000,1930-04-17,41200
USGS,9380000,1930-04-18,39900
USGS,9380000,1930-04-19,39000
USGS,9380000,1930-04-20,35600
USGS,9380000,1930-04-21,32400
USGS,9380000,1930-04-22,29700
USGS,9380000,1930-04-23,29300
USGS,9380000,1930-04-24,33000
USGS,9380000,1930-04-25,37600
USGS,9380000,1930-04-26,42300
USGS,9380000,1930-04-27,44500
USGS,9380000,1930-04-28,45200
USGS,9380000,1930-04-29,44700
USGS,9380000,1930-04-30,44300
USGS,9380000,1930-05-01,43900
USGS,9380000,1930-05-02,41100
USGS,9380000,1930-05-03,38900
USGS,9380000,1930-05-04,36900
USGS,9380000,1930-05-05,38500
USGS,9380000,1930-05-06,41200
USGS,9380000,1930-05-07,40000
USGS,9380000,1930-05-08,36800
USGS,9380000,1930-05-09,34000
USGS,9380000,1930-05-10,32000
