date,cfs
2020-05-01,10900
2020-05-02,10600
2020-05-03,10300
2020-05-04,10700
2020-05-05,10800
2020-05-06,10800
2020-05-07,11000
2020-05-08,10800
2020-05-09,10500
2020-05-10,10300
2020-05-11,10700
2020-05-12,10900
2020-05-13,10800
2020-05-14,10800
2020-05-15,10700
2020-05-16,10500
2020-05-17,10300
2020-05-18,10600
2020-05-19,10700
2020-05-20,10800
2020-05-21,10800
2020-05-22,10900
2020-05-23,10100
2020-05-24,9800
2020-05-25,9810
2020-05-26,10300
2020-05-27,10600
2020-05-28,10800
2020-05-29,10900
2020-05-30,10400
2020-05-31,10200
2020-06-01,12300
2020-06-02,12100
2020-06-03,11900
2020-06-04,11700
2020-06-05,11900
2020-06-06,9320
2020-06-07,8960
2020-06-08,11200
2020-06-09,11500
2020-06-10,12100
2020-06-11,12100
2020-06-12,12000
2020-06-13,9430
2020-06-14,8960
2020-06-15,11500
2020-06-16,12300
2020-06-17,11900
2020-06-18,11700
2020-06-19,11900
2020-06-20,9390
2020-06-21,8920
2020-06-22,11500
2020-06-23,12100
2020-06-24,12000
2020-06-25,11900
2020-06-26,11900
2020-06-27,9380
2020-06-28,8880
2020-06-29,11500
2020-06-30,12200
2020-07-01,13200
2020-07-02,13700
2020-07-03,13700
2020-07-04,10000
2020-07-05,9470
2020-07-06,12800
2020-07-07,13600
2020-07-08,13400
2020-07-09,13500
2020-07-10,13700
2020-07-11,10100
2020-07-12,9430
2020-07-13,13000
2020-07-14,13600
2020-07-15,13500
2020-07-16,13500
2020-07-17,13700
2020-07-18,10000
2020-07-19,9470
2020-07-20,13100
2020-07-21,14000
2020-07-22,13800
2020-07-23,13800
2020-07-24,14100
2020-07-25,10200
2020-07-26,9670
2020-07-27,13200
2020-07-28,13700
2020-07-29,13700
2020-07-30,13800
2020-07-31,13600
2020-08-01,11400
2020-08-02,11000
2020-08-03,14700
2020-08-04,15500
2020-08-05,15600
2020-08-06,15400
2020-08-07,15700
2020-08-08,11600
2020-08-09,11100
2020-08-10,15000
2020-08-11,15700
2020-08-12,15300
2020-08-13,15500
2020-08-14,15900
2020-08-15,12100
2020-08-16,11100
2020-08-17,15600
2020-08-18,16500
2020-08-19,15500
2020-08-20,15600
2020-08-21,15300
2020-08-22,11600
2020-08-23,11000
2020-08-24,14700
2020-08-25,15400
2020-08-26,15300
2020-08-27,15100
2020-08-28,15400
2020-08-29,11700
2020-08-30,11100
2020-08-31,13900
