date,cfs
2023-04-01,9270
2023-04-02,9630
2023-04-03,10400
2023-04-04,11600
2023-04-05,15900
2023-04-06,16800
2023-04-07,17100
2023-04-08,14700
2023-04-09,13400
2023-04-10,15300
2023-04-11,11800
2023-04-12,13000
2023-04-13,13300
2023-04-14,13300
2023-04-15,12100
2023-04-16,9860
2023-04-17,12400
2023-04-18,12700
2023-04-19,12700
2023-04-20,12700
2023-04-21,12900
2023-04-22,11700
2023-04-23,10400
2023-04-24,29800
2023-04-25,39600
2023-04-26,39500
2023-04-27,33200
2023-04-28,12600
2023-04-29,11500
2023-04-30,9440
2023-05-01,16600
